"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3575","TC14 - CTC field is of type number","webkit","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","486","TC01 - Page loads successfully","chromium","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","5282","TC14 - Logout redirects away from dashboard","firefox","2026-04-04","passed","2026-04-04","Recruiter Dashboard","recruiter-dashboard.spec.js","",""
"","843","TC12 - Navbar Register button is visible","firefox","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","936","Navbar Register link works correctly","chromium","2026-04-04","passed","2026-04-04","Login Module","jobseeker-login.spec.js","",""
"","3732","TC10 - View Applications button links to correct URL","webkit","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","2713","TC07 - CTC field is visible","chromium","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","15599","Register with valid details","firefox","2026-04-04","passed","2026-04-04","Job Seeker Registration","jobseeker.spec.js","",""
"","2954","TC11 - All fields are empty on page load","chromium","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","3843","TC01 - Post Job page loads after login","firefox","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","4639","TC20 - Complete Profile submit button is visible","firefox","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","826","TC04 - Logo image is visible","webkit","2026-04-04","passed","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","2688","TC09 - Submit button is visible","chromium","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","3134","TC05 - Search input is visible with correct placeholder","firefox","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","2585","TC27 - Missing company name shows required error","chromium","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","884","TC11 - Navbar Login button is visible","webkit","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","3386","TC05 - Email field is visible","firefox","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","1751","Missing Email","webkit","2026-04-04","passed","2026-04-04","Job Seeker Registration","jobseeker.spec.js","",""
"","752","Missing Name","firefox","2026-04-04","passed","2026-04-04","Job Seeker Registration","jobseeker.spec.js","",""
"","2853","TC07 - Search input accepts text","chromium","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","2607","TC01 - Dashboard loads after login","chromium","2026-04-04","passed","2026-04-04","Recruiter Dashboard","recruiter-dashboard.spec.js","",""
"","811","TC23 - Short name shows validation error","chromium","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","2837","TC07 - Search input accepts text","firefox","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","30140","TC17 - Fresher checkbox can be checked","chromium","2026-04-04","broken","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","616","TC06 - Mobile field is visible","firefox","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","725","TC15 - Mobile field accepts numeric input","chromium","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","2924","TC18 - Navbar logo is visible","chromium","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","1537","TC09 - Confirm Password field is visible","firefox","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","519","TC10 - Submit button is visible","firefox","2026-04-04","passed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","3074","TC16 - Fresher checkbox is unchecked by default","firefox","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","3779","TC07 - CTC field is visible","webkit","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","381","TC01 - Navbar is visible","chromium","2026-04-04","passed","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","3683","TC16 - All fields have required attribute","firefox","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","3620","TC11 - View Applications card is visible","webkit","2026-04-04","passed","2026-04-04","Recruiter Dashboard","recruiter-dashboard.spec.js","",""
"","4083","TC03 - Job Role field is visible","webkit","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","10576","TC13 - Register button is visible","firefox","2026-04-04","passed","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","1573","TC26 - Weak password shows error","webkit","2026-04-04","failed","2026-04-04","Recruiter Registration","recruiter-register.spec.js","",""
"","1174","TC07 - Logo links to homepage","firefox","2026-04-04","passed","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","2944","TC12 - View Applications button is visible","firefox","2026-04-04","passed","2026-04-04","Recruiter Dashboard","recruiter-dashboard.spec.js","",""
"","1825","TC01 - Navbar is visible","webkit","2026-04-04","passed","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","3021","TC06 - Search Jobs button is visible","chromium","2026-04-04","passed","2026-04-04","Job Seeker Dashboard","jobseeker-dashboard.spec.js","",""
"","3636","TC10 - Submit button has correct label","webkit","2026-04-04","passed","2026-04-04","Post New Job","recruiter-post-job.spec.js","",""
"","522","TC14 - Register button has correct text","chromium","2026-04-04","passed","2026-04-04","Recruiter Page - Navbar Module","recruiter-login.spec.js","",""
"","1048","Page loads successfully","firefox","2026-04-04","passed","2026-04-04","Job Seeker Registration","jobseeker.spec.js","",""
"","645","Weak password","chromium","2026-04-04","passed","2026-04-04","Job Seeker Registration","jobseeker.spec.js","",""
